date,e0,e_end,plan_cost,adj_purchase_cost,breach_cost,uplift_cost,adj_cost,em_cost,total_cost,plan_kWh,adj_kWh,dev_kWh,over_kWh,under_kWh,em_kWh,curt_kWh
2025-02-01,2678.5808860185202,2533.952004907408,18126.630086750858,17508.71627853075,308.95690411005376,1.184294736352361e-13,308.95690411005387,0.0,17817.673182640803,42250.901552981755,41320.64810416831,930.2534488134456,2.6526928801710404e-13,930.2534488134453,0.0,3478.7327441632397
2025-02-02,2533.952004907408,2628.0065762746885,61497.81621396365,59462.58759120962,1122.9882975931205,105.37398621611118,1228.3622838092317,0.0,60690.94987501885,88198.92906607338,85516.60823676953,3104.3134598594015,210.99631527777788,2893.3171445816233,0.0,2890.1433060528043
2025-02-03,2628.0065762746885,2315.9986559814824,63889.437759555825,60922.15598581196,1614.7183985570043,131.07751168506658,1745.795910242071,0.0,62667.95189605402,89656.33186108366,86129.99178385822,3934.014477925443,203.83720034999857,3730.1772775754444,0.0,1853.5552537791484
2025-02-04,2315.9986559814824,2347.628920706789,65382.767074795374,62179.25546513928,1909.5916734858827,307.8358686578367,2217.4275421437196,0.0,64396.683007283,91256.29670011316,87332.78112030294,4948.95518433244,512.7198022611093,4436.235382071331,0.0,1748.6957515637864
2025-02-05,2347.628920706789,2180.5254413425955,60287.294306810094,61313.40155610182,252.95131392010373,766.0049385659677,1018.9562524860714,183.34463500000112,62515.702443587885,85177.58806439643,86380.90242133402,2295.0472664094723,1749.180811673532,545.8664547359404,26.479583333333494,1397.2667654423913
2025-02-06,2180.5254413425955,2084.578071546297,64376.474419504535,60128.80009870746,2598.039226744533,474.20206634599947,3072.2412930905325,339.7644215333345,63540.80581333133,90009.19151573043,84997.78324829722,6498.798052433221,743.694892499999,5755.103159933222,47.80806666666683,401.6101286111114
2025-02-07,2084.578071546297,2365.503057608018,17966.622516855936,17139.027782325655,449.96678905989364,36.169421794751926,486.1362108546456,0.0,17625.1639931803,43037.501107314805,41275.25793788744,1894.9749925273738,66.36591155000352,1828.6090809773705,0.0,5506.635038775719
2025-02-08,2365.503057608018,2329.318766040123,15083.435354932371,15677.59056546992,5.183665052754804e-13,297.07760526877536,297.07760526877587,0.0,15974.668170738696,36588.42255228052,37342.21482153053,753.7922692500017,753.7922692500008,9.094947017729282e-13,0.0,2216.1515848285253
2025-02-09,2329.318766040123,2096.9965641851845,60318.22744764127,59830.38582355443,573.7773112216591,329.8564991782411,903.6338103999003,248.13815269195413,60982.15778664629,85952.70591462962,85274.57896582017,2016.7350768617139,669.3040640261331,1347.431012835581,42.64439627777922,1653.5553413271612
2025-02-10,2096.9965641851845,1885.1040556388891,55040.29083969712,53015.95867814181,1128.7780923560733,116.61201157841668,1245.39010393449,235.36851372516574,54496.71729580146,81729.80254042866,78946.5044507952,3191.3014542168003,204.00168229166675,2987.2997719251334,63.519301166666395,472.32278169067376
2025-02-11,1885.1040556388891,2052.507170703703,56761.55621230948,54031.67914496613,1595.290228064861,230.35169439318912,1825.64192245805,2777.0609865403217,58634.38205396451,82781.18859984569,79574.9513985693,3947.392064020822,370.5774313722294,3576.814632648593,519.409145252772,344.90036129629567
2025-02-12,2052.507170703703,1995.393554092593,56005.255680303744,53651.01130955615,1738.677854909609,561.5556695358106,2300.23352444542,4158.821939019099,60110.06677302067,82420.516716893,79121.78043893185,5032.219465944479,866.7415939916677,4165.477871952812,779.2761437749975,290.65491583333346
2025-02-13,1995.393554092593,2168.8076530462963,50914.92434421908,50313.193891490715,839.8065133853102,538.9412870211274,1378.7478004064376,2161.5069743815584,53853.44866627871,77070.16386523319,75984.43230722685,3477.4780674436483,1195.8732547186532,2281.604812724995,418.21391288055554,598.7118017489736
2025-02-14,2168.8076530462963,2205.3536090277757,14612.289152063711,15333.377486359934,1.3811050383758272e-13,360.5441671481117,360.5441671481118,0.0,15693.921653508045,35594.99757662551,36535.11504273662,940.1174661111128,940.1174661111124,2.6303379721228897e-13,0.0,3144.029445829903
2025-02-15,2205.3536090277757,1796.208872592593,14895.598268209162,15027.6699987217,121.27277523701454,187.30864049328375,308.5814157302983,1235.3904726300118,16571.64188708201,34722.88319412894,34776.86586243727,782.6979160861092,418.340292197219,364.3576238888902,264.9839900000023,2759.600431666666
2025-02-16,1796.208872592593,2096.081481333333,56957.398373820775,53699.11902545282,2459.9635566473225,830.8238824633495,3290.787439110672,5206.829802467849,62196.736267031345,83578.05884378531,79001.30855556944,7224.3090262436635,1323.7793690138947,5900.529657229768,965.521352649998,113.3769458333336
2025-02-17,2096.081481333333,1846.0084266481476,56233.34805279381,50596.06087446584,3364.551490016141,545.9079008521551,3910.4593908682964,205.93288876321554,54712.453154097355,83303.66521649178,75359.34767731756,9640.387732275856,848.0350965508275,8792.35263572503,35.82839308611062,355.84989722222156
2025-02-18,1846.0084266481476,2210.91331997222,48700.57695066741,51012.87781891525,0.0,1156.1504341239213,1156.1504341239213,257.4924415383325,52426.520694577506,74357.62001843622,76711.77371267627,2354.1536942400553,2354.1536942400553,0.0,50.87668833333316,276.75302166666756
