date,e0,e_end,plan_cost,em_cost,total_cost,plan_kWh,em_kWh,curt_kWh
2025-02-01,2412.720461990742,2394.1229151820958,18964.96445524082,0.0,18964.96445524082,44557.90609939299,0.0,6691.56318594307
2025-02-02,2394.1229151820958,2386.4207403240725,63246.642815320636,0.0,63246.642815320636,89862.45238258573,0.0,7526.837873816872
2025-02-03,2386.4207403240725,2027.91775442284,63675.76089328327,0.0,63675.76089328327,88938.46866717079,0.0,5078.4825819135785
2025-02-04,2027.91775442284,1979.9025218364218,62891.76015618979,0.0,62891.76015618979,88272.29273729767,0.0,2715.9117722565124
2025-02-05,1979.9025218364218,1848.6823278827187,62542.9496109325,183.34463500000112,62726.2942459325,87628.50793883402,26.479583333333494,2641.3606481481524
2025-02-06,1848.6823278827187,1735.3554488765453,61770.1964537862,388.5189420000006,62158.7153957862,86933.14691324759,54.767033333333416,2517.1680810836847
2025-02-07,1735.3554488765453,2225.796799589505,18411.56367408758,0.0,18411.56367408758,44030.42886516118,0.0,8110.111526268867
2025-02-08,2225.796799589505,2138.212082006168,17665.57087193938,0.0,17665.57087193938,41883.795296375174,0.0,7005.973830250337
2025-02-09,2138.212082006168,1831.3594707654345,60024.755296169096,0.0,60024.755296169096,85443.5589359808,0.0,1766.1577366083734
2025-02-10,1831.3594707654345,1614.758415959877,58158.07934837932,0.0,58158.07934837932,85334.8788859945,0.0,7355.468009821672
2025-02-11,1614.758415959877,1704.012354666669,57835.09895036801,0.0,57835.09895036801,84164.00478434499,0.0,4725.008443045264
2025-02-12,1704.012354666669,1675.5458563148145,56827.47852309828,0.0,56827.47852309828,83341.5831541461,0.0,3911.4691650617215
2025-02-13,1675.5458563148145,1928.0736696388876,55810.3215123648,0.0,55810.3215123648,82629.65692150204,0.0,7242.34800595679
2025-02-14,1928.0736696388876,1870.5001942870363,15602.181583587146,0.0,15602.181583587146,36952.78291310699,0.0,3724.572209495882
2025-02-15,1870.5001942870363,1436.4093715925922,15638.543166540167,0.0,15638.543166540167,36202.129969166665,0.0,3947.4364957613216
2025-02-16,1436.4093715925922,1696.0881145925975,54894.60367346165,1581.0986503498168,56475.70232381146,80853.49060011316,304.7527642750032,1266.600617674887
2025-02-17,1696.0881145925975,1575.7224386111113,54695.547513207806,0.0,54695.547513207806,80738.20751540121,0.0,5906.072893549383
2025-02-18,1575.7224386111113,1873.8771465092545,53753.15607074638,15.368406386667012,53768.52447713305,80770.33089746913,3.015778333333401,4421.609898395069
2025-02-19,1873.8771465092545,1245.1473608518545,52858.72535787573,222.27235600000128,53080.99771387573,79510.47547754804,40.97941666666691,3062.83343162551
2025-02-20,1245.1473608518545,1918.8490445925888,53806.8205382312,81.27559186833297,53888.09613009953,79885.46588835391,14.486336666666602,4142.409601779847
2025-02-21,1918.8490445925888,1841.4444327407396,14998.643788251979,0.0,14998.643788251979,34931.3504323251,0.0,6114.5015904012325
2025-02-22,1841.4444327407396,1515.097982861112,14902.363549373495,0.0,14902.363549373495,34941.981105360086,0.0,4095.7468445679006
2025-02-23,1515.097982861112,1706.7222192222216,52418.389469183414,0.0,52418.389469183414,78630.27348985596,0.0,2804.22545716049
2025-02-24,1706.7222192222216,1545.140739388889,52163.52717316648,0.0,52163.52717316648,78498.41183741769,0.0,6546.963772088478
2025-02-25,1545.140739388889,1745.6858015277796,50700.15174408148,91.99846658333216,50792.15021066481,77960.76785186214,17.79297916666644,8153.4380671296285
