date,slot,P_plan_kW,P_adj_kW,P_ch_kW,P_dis_kW,P_em_kW,P_curt_kW,E_kWh,load_forecast_kW,pv_forecast_kW,load_actual_kW,pv_actual_kW,price
2025-02-01,0,7625.687110000004,7625.687110000004,5000.0,0.0,0.0,93.5049100000042,2678.5808860185184,2625.6871100000003,0.0,2532.1822,0.0,0.4248
2025-02-01,1,7692.002415,7692.002415,5000.0,0.0,0.0,199.55851499999994,3428.5808860185184,2692.002415,0.0,2492.4439,0.0,0.4245
2025-02-01,2,7759.766,7759.766,5000.0,0.0,0.0,295.4659999999999,4178.580886018519,2759.766,0.0,2464.3,0.0,0.4269
2025-02-01,3,7829.412665,7829.412665,5000.0,0.0,0.0,247.643865,4928.580886018519,2829.412665,0.0,2581.7688,0.0,0.4272
2025-02-01,4,7944.302085,7944.302085,5000.0,0.0,0.0,397.8385850000009,5678.580886018519,2944.3020850000003,0.0,2546.4635,0.0,0.4271
2025-02-01,5,7930.639,7930.639,5000.0,0.0,0.0,494.3289999999997,6428.580886018519,2930.639,0.0,2436.31,0.0,0.4285
2025-02-01,6,2837.6933599999998,2837.6933599999998,217.19225999999978,0.0,0.0,0.0,7178.580886018519,2837.6933599999998,0.0,2620.5011,0.0,0.4311
2025-02-01,7,6329.478071893016,6329.478071893016,3618.691971893016,0.0,0.0,0.0,7211.159725018519,2727.30112,0.0,2710.7861,0.0,0.4302
2025-02-01,8,7754.015833333333,7754.015833333333,5000.0,0.0,0.0,77.53583333333381,7753.963520802471,2754.0158333333334,0.0,2676.48,0.0,0.4279
2025-02-01,9,2928.43539,2928.43539,97.83739000000014,0.0,0.0,0.0,8503.96352080247,2928.43539,0.0,2830.598,0.0,0.4312
2025-02-01,10,3037.686485,3037.686485,349.5306850000002,0.0,0.0,0.0,8518.63912930247,3037.686485,0.0,2688.1558,0.0,0.4333
2025-02-01,11,2978.3015,2978.3015,593.8815,0.0,0.0,0.0,8571.06873205247,2978.3015,0.0,2384.42,0.0,0.4311
2025-02-01,12,7963.821524999999,7963.821524999999,5000.0,0.0,0.0,359.2777249999999,8660.15095705247,2963.821525,0.0,2604.5438,0.0,0.4293
