date,e0,e_end,plan_cost,em_cost,total_cost,plan_kWh,em_kWh,stochastic_obj
2025-02-01,6000.0,1200.0,21124.59388534338,0.0,21124.59388534338,39525.41985606996,0.0,21348.495303377196
2025-02-02,1200.0,1200.0,58206.75780086703,0.0,58206.75780086703,91829.61778881357,0.0,58835.975498180764
2025-02-03,1200.0,1200.0,56182.70003376146,0.0,56182.70003376146,89022.33308055063,0.0,57052.01324215402
2025-02-04,1200.0,1200.0,56225.74065030102,0.0,56225.74065030102,89118.97938044238,0.0,57244.2704258083
2025-02-05,1200.0,1200.0,55811.086147092516,0.0,55811.086147092516,88486.3246088889,0.0,56830.86294018968
2025-02-06,1200.0,1200.0,55925.29587425462,0.0,55925.29587425462,88238.29940639518,0.0,57012.436495211026
2025-02-07,1200.0,1200.0,20722.693069182507,0.0,20722.693069182507,39986.97097975944,0.0,21924.279447936682
2025-02-08,1200.0,1200.0,19827.70283748049,0.0,19827.70283748049,38157.210097161245,0.0,20320.886359792636
2025-02-09,1200.0,1200.0,53169.460879683495,0.9841858939352466,53170.44506557743,84261.37910319418,0.44786616333799617,53710.726745858716
2025-02-10,1200.0,1200.0,52037.205444807056,22.04097817937334,52059.24642298643,82942.03195949472,10.473261192384575,52614.0474109281
2025-02-11,1200.0,1200.0,51991.18846292619,291.08195464418293,52282.27041757038,82743.70894570318,62.38233962499902,52131.70399546177
2025-02-12,1200.0,1200.0,51916.35622312307,304.8939831562265,52221.25020627929,82728.07099516357,109.72158030774327,52068.6368752869
2025-02-13,1200.0,1200.0,52287.48422898383,0.0,52287.48422898383,83100.27287910378,0.0,52452.36116702275
2025-02-14,1200.0,1200.0,18523.39062421071,1038.2215853794949,19561.612209590206,35791.75144697787,275.1024668029181,18705.58672480269
2025-02-15,1200.0,1200.0,18243.35312473032,1363.9197420084108,19607.27286673873,35083.8603738873,436.65880463481733,18409.40983668414
2025-02-16,1200.0,1200.0,49920.87309746281,253.22683735399488,50174.099934816804,79913.17732956017,113.6871084722253,50322.69697339022
