date,e0,e_end,plan_cost,adj_purchase_cost,breach_cost,uplift_cost,adj_cost,em_cost,total_cost,plan_kWh,adj_kWh,dev_kWh,over_kWh,under_kWh,em_kWh,curt_kWh
2025-02-01,2678.5808860185184,2549.34085590741,22261.704340705764,21362.62728813812,449.53852628382515,6.242608036728866e-13,449.5385262838258,0.0,21812.165814421944,42318.575531906725,40959.13911309328,1359.436418813444,1.0112390590144904e-12,1359.436418813443,0.0,3032.4510508299063
2025-02-02,2549.34085590741,2628.0065762746867,55489.83337476496,53968.44528931157,852.0422673594109,91.3482246327084,943.3904919921192,0.0,54911.835781303686,88340.02452343162,85692.18529881912,3069.831855168043,210.99631527777788,2858.835539890266,0.0,2989.7385004218054
2025-02-03,2628.0065762746867,2315.9986559814824,56499.703504771715,54140.194660736444,1311.0357709030552,131.28134888541658,1442.3171197884717,0.0,55582.51178052492,89814.665194417,86180.86667729786,4041.47291781913,203.83720034999857,3837.6357174691316,0.0,1853.5552537791496
2025-02-04,2315.9986559814824,2347.628920706789,57888.61190882111,55222.20731906012,1616.3586120230152,283.15631714251776,1899.514929165533,0.0,57121.722248225655,91287.89400446502,87488.05800905808,4825.275599929145,512.7198022611095,4312.555797668036,0.0,1746.6013524382743
2025-02-05,2347.628920706789,2180.5254413425955,53575.33118062228,54394.48214825116,143.73536526806407,553.3108490825068,697.0462143505708,153.80665979166758,55245.335022393396,85277.99056199245,86507.94378729217,1942.0140427002843,1585.983634000008,356.03040870027627,26.479583333333494,1404.3561931649558
2025-02-06,2180.5254413425955,2084.578071546295,56812.35155233051,53526.33858684315,2121.278964578306,478.2724818346234,2599.551446412929,415.99032470889017,56541.88035796497,90211.4024408779,85075.46355115226,6623.328674725644,743.6948924999975,5879.633782225647,77.18518555555579,459.2865119855919
2025-02-07,2084.578071546295,2365.50305760802,22297.64154740311,20920.671755759875,729.0543775521328,40.5694817305172,769.62385928265,0.0,21690.295615042523,43164.93609039094,40731.982483720785,2565.685429770175,66.3659115500036,2499.319518220171,0.0,4843.5201887242765
2025-02-08,2365.50305760802,2329.318766040124,18773.96039302375,19489.81076677352,5.712081474484876e-13,357.92518687488655,357.9251868748871,0.0,19847.735953648407,36588.42255228052,37342.21482153052,753.7922692500019,753.792269250001,9.094947017729282e-13,0.0,2214.6944881207037
2025-02-09,2329.318766040124,2096.9965641851845,53882.255762995934,53567.422511945915,444.99279900867265,287.5761734836622,732.5689724923349,251.93804142278776,54551.92952586104,85952.70591462962,85277.36977057737,2019.5258816189148,672.094868783335,1347.4310128355796,41.89370944444586,1656.1509367222243
2025-02-10,2096.9965641851845,1885.1040556388891,50828.96996697604,49052.21750400619,1107.6693631006624,219.29313161574038,1326.9624947164027,547.0433717999318,50926.22337052253,81788.63212242798,78997.8301268143,3792.433490052991,500.81574721965546,3291.617742833336,136.10912560833384,440.0906425240097
2025-02-11,1885.1040556388891,2052.507170703703,51881.48279335944,49477.503308098196,1440.1928465054884,238.20310387486717,1678.3959503803555,2620.941343779847,53776.8406022584,83032.91788515431,79701.54051806932,4072.532229829464,370.5774313722286,3701.9547984572355,515.74094909722,313.83580979423914
2025-02-12,2052.507170703703,1995.393554092593,51422.57137883792,49932.7366880942,1307.11332669903,562.1959813271668,1869.309308026197,1342.4391932366836,53144.48518935708,82524.27300919752,79715.90098417352,4541.8552130073385,866.741593991667,3675.1136190156712,280.43228038333524,233.65320999999994
