group,model,mae_kw,rmse_kw,daily_mape
L,median5,652.4896585142216,1121.3509108161882,13.227431885169693
L,wrec,1055.5977461495759,1329.0657527817732,22.521990914613067
L,ef2,142.44654041721327,192.93812262953958,0.95940660673993
L,ef3,138.6789112225398,189.5610015632958,1.0090009937162048
L,lvl,140.1851709076431,191.86334734799198,1.2007478804497824
L,lgbm,159.32441424868608,259.71263929187893,1.7309273126614555
L,mean4cls(基线),137.516049233824,191.58695939080067,1.0599179659240117
L,堆叠(岭回归融合4模型),144.06382788611438,198.21705437623748,1.3438141373669106
L,堆叠(稳健4模型),143.41627237089594,197.32597529686876,1.1770748267933502
PV,median5,156.95474925773453,315.4799602262246,3.7438105678796956
PV,wrec,158.03580989708084,317.46677251694365,3.8864595292149113
PV,ef2,161.14665934558582,329.43958582133126,3.7292340360539953
PV,lvl,154.78078811712828,315.9198790307357,3.8821953140274688
PV,fc0,206.64540654662898,388.7782724662937,5.267359428635425
PV,lgbm,151.2372670863806,302.56776689950686,4.135250888084585
PV,mean4(基线),151.94870416094892,307.32768086576175,3.6355889483883663
PV,堆叠(mean4+ef2+lgbm+fc0),136.8491397104649,261.7362893949267,3.4894218506962247
PV,堆叠(稳健4模型),146.82168190251934,285.5021749732852,3.7223196005055144
PV,融合: 0.6×mean4+0.4×lgbm,140.84021010770067,280.94099387960995,3.4838882056100036
PV,融合: 0.7×mean4+0.3×lgbm,142.3084021641686,284.6283580532423,3.465721079467582
PV,融合: 0.8×mean4+0.2×lgbm,144.6550606012482,290.3369292634611,3.4767326168543513
P,prof,0.22293718873799045,0.31072860620975395,1.7478366612826899
P,ef,0.22931513218398197,0.31030037414205625,1.6561869679283774
P,lgbm,0.22307697038256002,0.32197548245564495,1.8547790127916797
P,堆叠(廓线+ef+lgbm),0.22005269241480113,0.30025609859409674,1.8609957766455798
