时间段,2025.3.20,2025.6.21,2025.9.23,2025.12.21
10:00-10:10,0.0,0.0,0.0,0.0
12:00-12:10,556.49,0.0,527.54,986.12
14:00-14:10,0.0,0.0,0.0,0.0
16:00-16:10,493.99,244.62,568.69,852.91
18:00-18:10,0.0,495.12,0.0,718.19
20:00-20:10,723.22,0.0,0.0,0.0
全天购电量,67284.83,35301.98,69373.36,98282.75
全天购电费,42027.64,18281.81,45327.52,74498.72
