配置,总费用,购电费,调整费,紧急费,紧急电量,偏离量
仅 0:00（无调整）,14499540.273736574,12618814.401123073,0.0,1880725.872613505,304867.6409028885,0.0
仅 +6:00,14059221.000355728,12601105.623685228,343837.1017374103,1114278.27493309,180093.88795299144,1065701.5544787534
仅 +12:00,13791398.30346444,12507961.876591276,239802.28880118224,1043634.1380719828,181519.99811840177,746567.9517448037
仅 +18:00,13648387.572918896,12867725.779125966,131061.20616386141,649600.5876290681,122678.27923096898,199366.00568212854
四个时刻全部,13383402.488765921,12569693.797117319,384075.9316034581,429632.76004514506,78210.98358756564,1135133.948341697
