时间段,2025.3.20_充电量,2025.3.20_放电量,2025.6.21_充电量,2025.6.21_放电量,2025.9.23_充电量,2025.9.23_放电量,2025.12.21_充电量,2025.12.21_放电量
0:00-4:00,7780.51,142.63,296.43,172.29,8267.62,90.41,8240.64,103.83
4:00-8:00,1726.21,6518.12,857.06,1745.77,1726.76,6341.21,2387.96,1477.37
8:00-12:00,3130.07,2030.49,9913.91,0.0,5715.84,1896.62,5487.56,7310.68
12:00-16:00,6510.81,254.72,0.0,0.0,5003.53,431.5,7023.87,2014.19
16:00-20:00,387.0,5212.76,69.59,5675.1,118.31,5935.12,24.92,5928.57
20:00-24:00,1279.45,2738.2,1464.36,2497.43,1082.58,2933.07,1151.71,2781.19
0:00 储电量,2300.88,,2970.52,,1878.71,,2091.83,
24:00 储电量,2259.16,,3099.97,,2015.3,,2181.47,
