时间段,2025.3.20,2025.6.21,2025.9.23,2025.12.21
10:00-10:10,0.0,0.0,0.0,0.0
12:00-12:10,414.72,0.0,319.35,893.88
14:00-14:10,0.0,0.0,0.0,0.0
16:00-16:10,646.66,148.12,539.22,856.46
18:00-18:10,695.67,-0.0,757.41,710.57
20:00-20:10,0.0,0.0,0.0,0.0
全天购电量,65279.67,33608.13,66651.06,96060.59
全天购电费,42164.81,19490.23,42486.22,62207.78
